Designator,Mid X,Mid Y,Rotation,Layer
C6_2,-130.800003,-4.800018,45.0,top
U1,-58.999995,21.999993,0.0,top
R1_3,-56.249995,54.250004,-90.0,top
R1_2,-122.250003,54.250004,-90.0,top
D3,-67.499995,55.000004,-90.0,top
C2_3,-57.979995,24.499993,180.0,top
C3,-54.479995,55.000004,180.0,top
C2_2,-123.980003,-8.500018,180.0,top
R1,-122.250003,21.249993,-90.0,top
R5,-61.749995,-15.000018,-90.0,top
R6_2,-69.499995,-12.500018,-90.0,top
C5,-65.399995,21.799993,-90.0,top
C6,-130.800003,61.200004,45.0,top
R6,-102.499999,-12.500018,-90.0,top
C2,-90.979999,-8.500018,180.0,top
R2,-97.499999,51.000004,90.0,top
